Category,Seasonality,total_sales,expected_demand,Ranking
Clothing,Winter,1719747,1917757,1
Clothing,Summer,943321,1053374,2
Clothing,Autumn,940540,1050855,3
Clothing,Spring,627272,700900,4
Electronics,Winter,844612,944185,1
Electronics,Summer,650882,727924,2
Electronics,Autumn,650645,726439,3
Electronics,Spring,430904,481264,4
Furniture,Winter,666587,743712,1
Furniture,Summer,513901,573845,2
Furniture,Autumn,513859,573868,3
Furniture,Spring,341004,380086,4
Groceries,Winter,222207,248315,1
Groceries,Summer,221914,248088,2
Groceries,Autumn,171957,191636,3
Groceries,Spring,113472,125813,4
Toys,Winter,334519,373946,1
Toys,Autumn,257617,288423,2
Toys,Summer,255812,285921,3
Toys,Spring,170545,189994,4
